Mean by column:
[0.525256, 0.508716, 0.504056, 0.524072, 0.486883]\n
Standard deviation by column:
[0.256431, 0.272336, 0.292540, 0.294809, 0.293469]\n
Normalized:
[[-0.081754, 0.454050, -0.508809, 0.097785, -0.147180],
 [0.223681, -0.393449, -0.229010, -0.490167, -0.095004],
 [0.153592, -0.151780, -0.026926, -0.213080, -0.328041],
 [-0.285515, -0.137808, -0.020714, 0.176391, 0.482070],
 [0.071113, -0.383264, -0.335081, -0.080909, 0.149176],
 [0.280712, -0.164786, -0.048650, -0.065454, -0.385575],
 [0.052277, 0.276804, -0.087918, 0.452636, 0.002564],
 [-0.006690, -0.390182, 0.243757, -0.347216, -0.431331],
 [-0.056432, -0.403498, 0.050515, -0.060714, -0.168858],
 [0.012039, -0.297432, 0.340768, 0.483661, 0.158199],
 [0.431529, 0.162790, 0.375196, 0.410596, 0.282255],
 [-0.043486, -0.487674, 0.362957, 0.038867, -0.011435],
 [-0.463389, 0.385269, 0.078784, -0.283181, -0.394271],
 [-0.374129, 0.244076, -0.484848, -0.087560, -0.248341],
 [0.195533, -0.327784, 0.244535, 0.166846, 0.073687],
 [0.142082, -0.240244, 0.353714, 0.277903, -0.493151],
 [-0.371804, 0.061388, -0.319356, 0.022404, -0.364355],
 [0.484434, -0.092430, 0.254893, -0.501358, 0.439541],
 [0.080757, 0.224461, 0.186214, 0.090952, 0.442642],
 [-0.302403, 0.448122, 0.264154, 0.464373, 0.031820],
 [-0.144838, 0.438661, 0.161133, -0.408649, 0.347797],
 [0.257487, -0.401185, -0.442069, 0.314460, -0.328166],
 [-0.070097, -0.292876, 0.212740, 0.159403, -0.501134],
 [0.327441, 0.235960, 0.048991, -0.104415, -0.390358],
 [0.468891, 0.470039, -0.356661, -0.321050, 0.141061],
 [-0.359056, 0.102428, -0.294260, -0.307397, 0.462419],
 [-0.084830, -0.273580, 0.008167, 0.050206, -0.180336],
 [-0.056962, 0.266138, -0.279008, 0.021550, -0.338583],
 [0.129754, 0.062367, -0.225593, -0.472206, -0.012157],
 [-0.100151, 0.292733, -0.351781, -0.127885, 0.106807],
 [0.043108, -0.382390, 0.020399, 0.260928, 0.044137],
 [-0.242006, -0.250209, -0.219021, -0.257440, 0.185331],
 [0.286400, -0.228815, 0.283081, 0.182506, -0.218410],
 [-0.002206, -0.203144, 0.104565, 0.215967, -0.308180],
 [0.018973, -0.480832, -0.046311, 0.223349, -0.390284],
 [0.437270, 0.005720, 0.413827, -0.035667, 0.354561],
